age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
3,3,265477,2,1,5,2,0,1,0,0,1,0,0
2,7,507875,0,1,7,2,0,1,0,0,2,0,0
4,3,88506,3,1,5,2,0,1,0,0,1,0,0
1,7,172987,3,1,0,2,0,1,0,0,2,0,0
3,7,94638,1,2,8,5,0,0,0,0,1,0,0
1,7,289980,1,0,6,3,0,1,0,0,1,0,0
4,4,337895,3,1,5,2,4,1,0,0,1,0,1
4,7,144361,1,1,7,2,0,1,0,0,1,0,0
3,7,128354,4,2,4,5,0,0,0,0,1,0,0
3,5,101603,2,1,1,2,0,1,0,0,1,0,0
1,7,271466,2,0,5,3,0,1,0,0,2,0,0
1,7,32275,2,1,4,0,3,0,0,0,1,0,0
0,7,226956,1,0,2,1,0,0,0,0,1,0,0
3,7,51835,4,1,5,0,0,0,0,1,2,1,1
3,4,251585,3,2,4,3,0,1,0,0,2,0,1
3,2,109832,1,2,4,3,0,1,0,0,2,0,0
3,7,237993,2,1,0,2,0,1,0,0,1,0,1
3,7,216666,0,1,7,2,0,1,0,0,1,1,0
2,7,56352,2,1,2,2,0,1,0,0,1,1,0
3,7,147372,1,1,8,2,0,1,0,0,2,0,0
1,7,188146,1,1,7,2,0,1,1,0,1,0,0
1,7,59496,3,1,3,2,0,1,1,0,1,0,0
2,7,293936,0,2,5,3,0,1,0,0,1,0,0
3,7,149640,1,1,10,2,0,1,0,0,1,0,0
3,7,116632,4,1,5,2,0,1,0,0,2,0,1
1,7,105598,2,2,0,3,0,1,0,0,2,0,0
2,7,155537,1,1,1,2,0,1,0,0,1,0,0
1,7,183175,2,2,8,3,0,0,0,0,1,0,0
4,7,169846,1,1,8,0,0,0,0,0,1,0,1
3,2,191681,2,1,4,2,0,1,0,0,2,0,1
1,7,200681,2,0,5,1,0,1,0,0,1,0,0
0,7,101509,2,0,5,1,0,1,0,0,1,0,0
2,7,309974,3,2,3,1,4,0,0,0,1,0,0
1,3,162298,3,1,3,2,0,1,0,0,3,0,1
1,7,211678,2,0,7,3,0,1,0,0,1,0,0
6,7,124744,2,1,5,4,0,1,0,0,0,0,0
1,7,213921,1,0,2,1,0,1,0,0,1,1,0
2,7,32214,2,1,8,2,0,1,0,0,1,0,0
5,7,212759,0,1,5,2,0,1,0,0,0,0,0
0,7,309634,0,0,2,1,0,0,0,0,1,0,0
2,6,125927,0,1,9,2,0,1,0,0,1,0,0
0,7,446839,1,0,3,3,0,1,0,0,1,0,0
4,7,276515,3,1,2,2,0,1,0,0,1,1,0
3,7,51618,1,1,2,0,0,0,0,0,1,0,0
4,7,159937,1,1,3,2,0,1,0,0,2,0,0
3,7,343591,1,2,1,3,0,0,1,0,1,0,1
4,7,346253,1,2,3,1,0,0,0,0,1,0,0
3,6,268234,1,1,12,2,0,1,0,0,1,0,1
2,7,202051,4,1,5,2,0,1,0,0,2,0,0
1,7,54334,0,0,3,3,0,1,0,0,1,0,0
3,4,410867,4,0,5,3,0,0,0,0,2,0,1
4,7,249977,2,1,5,2,0,1,0,0,1,0,0
2,7,286730,2,2,1,5,0,0,0,0,1,0,0
1,7,212563,2,2,7,5,4,0,0,0,1,0,0
1,7,117747,1,1,3,0,1,0,0,1,1,0,0
2,6,226296,3,1,12,2,0,1,0,0,1,0,1
1,6,115585,2,0,6,3,0,1,0,0,2,0,0
3,3,191277,4,1,5,2,0,1,0,1,2,0,1
2,7,202683,2,1,3,2,0,1,0,0,2,0,1
3,7,171095,2,2,4,5,0,0,0,0,1,1,0
2,4,249409,1,0,2,1,4,1,0,0,1,0,0
6,7,124191,4,1,4,2,0,1,0,0,1,0,1
3,7,198282,3,1,4,2,0,1,1,0,2,0,1
3,3,149116,4,0,5,3,0,0,0,0,2,0,0
0,7,188300,2,0,0,1,0,0,0,0,1,0,0
1,7,103432,1,0,1,3,0,1,0,0,1,0,0
2,2,317660,1,1,1,2,0,1,1,0,1,0,1
0,7,304873,0,0,5,1,0,0,1,0,1,0,0
1,7,194901,0,0,6,1,0,1,0,0,1,0,0
2,6,189265,1,0,8,3,0,0,0,0,1,0,0
3,7,124692,1,1,6,2,0,1,0,0,1,0,0
1,7,432376,3,0,3,4,0,1,0,0,1,0,0
2,7,65324,4,1,5,2,0,1,0,0,1,0,1
4,3,335605,1,1,2,2,0,1,0,1,2,1,1
1,7,377869,2,1,3,0,0,0,1,0,1,0,0
2,7,102864,1,0,7,1,0,0,0,0,1,0,0
4,7,95647,0,1,6,2,0,1,0,0,2,0,0
4,2,303090,2,1,3,2,0,1,0,0,2,0,0
3,6,197371,2,1,1,2,4,1,0,0,1,0,1
4,7,247552,2,1,3,2,0,1,0,0,2,0,0
1,7,102632,1,0,1,3,0,1,0,0,2,0,0
1,7,199915,2,0,2,1,0,0,0,0,1,0,0
2,7,118853,3,1,4,2,0,1,0,0,2,0,0
1,7,77143,3,0,4,1,4,1,0,0,1,1,0
1,5,267989,3,1,5,2,0,1,0,0,2,0,1
0,7,301606,2,0,2,1,4,1,0,0,1,0,0
3,7,287828,3,1,4,0,0,0,0,0,1,0,1
0,7,111697,2,0,8,1,0,0,0,1,1,0,0
2,7,114937,2,1,8,2,0,1,0,0,1,0,1
2,7,129305,1,1,5,2,0,1,0,0,1,0,0
2,7,365739,2,2,1,3,0,1,0,0,1,0,0
1,7,69621,2,0,3,3,0,0,0,0,2,0,0
1,7,43323,1,0,2,3,0,0,0,1,1,0,0
2,3,120985,1,1,1,2,0,1,1,0,1,0,0
2,7,254202,3,1,3,2,0,1,0,0,2,0,0
3,7,146195,2,2,0,3,4,0,0,0,1,0,0
2,4,125933,4,1,5,2,0,1,0,0,1,1,1
3,3,56920,1,1,1,2,0,1,0,0,2,0,0
1,7,163127,2,1,8,0,0,0,0,0,1,0,0
0,7,34310,2,0,3,1,0,1,0,0,0,0,0
3,7,81973,2,1,1,2,1,1,0,0,1,0,1
5,2,66614,1,1,1,2,0,1,0,0,1,0,0
1,7,232782,2,0,3,1,0,0,0,0,1,0,0
0,7,316868,2,0,2,1,0,1,0,0,1,1,0
3,7,196584,2,0,5,3,0,0,0,1,1,0,1
5,7,105376,2,0,0,4,0,1,0,0,1,0,0
2,7,185814,1,0,10,5,4,0,0,0,1,0,0
1,7,175374,2,1,2,2,0,1,0,0,1,0,0
2,7,108293,1,2,2,5,0,0,0,0,1,0,0
5,7,181232,0,1,1,2,0,1,0,1,1,0,0
3,7,174662,2,2,5,3,0,0,0,0,1,0,0
3,6,186009,2,2,8,5,0,0,0,0,1,1,0
2,7,198183,1,0,8,3,0,0,0,0,1,0,0
2,7,163003,3,0,4,4,1,0,0,0,1,1,0
1,7,296158,1,0,1,1,0,1,0,0,1,0,0
4,7,252903,1,2,5,3,0,1,0,0,2,0,1
3,7,187715,1,1,1,2,0,1,0,0,2,0,0
1,7,214542,3,0,6,3,0,1,0,0,1,0,0
6,3,494223,2,2,3,5,4,1,0,1,0,0,0
1,7,191535,1,2,1,3,0,1,0,0,2,0,0
3,7,228456,3,2,2,4,4,1,0,0,2,0,0
5,7,38317,0,2,5,3,0,0,0,0,0,0,0
1,7,252752,1,0,2,5,0,0,0,0,1,0,0
3,2,78374,4,2,4,5,1,0,0,0,1,0,0
1,7,88419,1,0,4,3,1,0,0,0,1,1,0
3,3,201080,4,1,3,2,0,1,0,0,1,0,1
2,7,207157,2,2,2,5,0,0,0,0,1,1,0
2,4,235485,2,0,4,3,0,1,0,0,2,0,0
3,5,102628,4,2,12,5,0,1,0,0,1,0,0
0,7,25828,0,0,6,1,0,1,0,0,0,0,0
5,6,54826,2,2,5,3,0,0,0,0,0,0,0
1,7,124953,1,0,2,3,0,1,0,1,1,0,0
1,5,175325,1,1,12,2,0,1,0,0,1,0,0
4,7,96062,2,1,3,2,0,1,0,1,1,0,1
1,7,428030,3,0,1,3,0,1,0,0,2,0,0
1,5,149624,3,1,5,2,0,1,0,0,1,0,1
1,7,253814,1,2,3,5,0,0,0,0,1,0,0
1,7,312956,1,0,1,1,4,1,0,0,1,0,0
2,7,483777,1,0,6,3,4,1,0,0,1,0,0
0,7,183930,1,0,2,1,0,1,0,0,0,0,0
2,7,37274,3,1,5,2,0,1,0,0,3,0,0
3,6,181344,2,1,4,2,4,1,0,0,1,0,1
3,7,114580,2,2,8,3,0,0,0,0,1,0,0
1,7,633742,2,0,1,3,4,1,0,0,2,0,0
2,7,286370,0,1,7,2,0,1,0,0,1,1,1
2,4,29054,2,1,8,2,0,1,0,0,2,0,1
2,7,304030,1,1,8,2,4,1,0,0,1,0,0
3,3,143129,3,2,4,3,0,0,0,0,1,0,0
4,7,135105,3,2,5,3,0,0,0,0,2,0,0
2,7,99928,4,1,5,0,0,0,0,0,2,0,0
4,5,109567,4,1,5,2,0,1,0,0,0,0,1
2,7,155222,2,2,7,3,4,0,0,0,1,0,0
1,7,159567,2,1,7,2,0,1,0,0,1,0,0
3,6,523910,3,1,1,2,4,1,0,0,1,0,0
3,7,120939,2,1,0,2,0,1,0,0,2,0,0
3,4,130760,3,1,0,2,0,1,0,0,1,0,0
1,7,197387,0,1,10,4,0,1,0,0,1,1,0
2,7,99374,2,2,1,3,0,1,0,0,1,0,0
2,4,56795,4,0,4,3,0,0,1,0,2,0,1
2,7,138992,4,1,5,4,0,1,1,0,1,0,1
1,3,32921,1,0,3,3,0,1,0,0,1,0,0
1,7,397317,4,0,5,3,0,0,0,1,1,0,0
0,7,170653,1,0,5,1,0,1,0,0,1,1,0
4,7,259323,3,1,4,2,0,1,0,0,2,0,1
3,6,254817,2,0,5,3,0,0,0,1,1,0,0
2,5,48211,1,2,8,5,0,0,0,0,1,0,0
0,7,140164,0,0,3,1,0,0,0,0,1,0,0
2,7,128757,3,1,2,2,4,1,1,0,1,0,1
2,7,36270,1,2,1,3,0,1,0,0,2,0,0
4,2,210563,1,1,3,0,0,0,1,0,1,0,1
0,7,65368,0,0,3,1,0,0,0,0,0,0,0
3,6,160943,1,1,10,2,4,1,0,0,1,0,0
2,7,208358,1,1,1,2,0,1,0,0,1,0,1
2,7,153790,2,0,3,3,2,0,0,0,1,0,0
4,7,85815,1,1,1,2,1,1,0,0,1,0,0
4,2,125417,0,1,7,2,0,1,0,0,1,0,1
2,7,635913,3,0,4,3,4,1,0,0,2,0,1
3,7,313321,2,2,3,3,0,0,0,0,1,0,0
2,7,182609,3,1,3,2,0,1,0,0,2,1,0
3,7,109434,3,1,5,2,0,1,0,0,2,0,0
1,7,255004,0,0,1,3,0,1,0,0,1,0,0
2,7,197860,2,1,6,2,0,1,0,0,1,0,0
5,7,187656,0,2,5,3,0,1,0,0,1,0,0
7,7,51744,1,0,2,3,4,1,0,1,1,0,0
4,7,176681,1,1,8,2,4,1,0,0,0,0,0
4,6,140359,0,0,7,3,0,0,0,0,1,0,0
0,7,243313,1,0,3,1,0,0,0,0,1,0,0
4,7,24215,0,2,5,3,2,0,0,0,0,0,0
5,3,167687,1,1,9,2,0,1,1,0,2,0,0
6,7,314209,2,2,8,3,0,0,0,0,0,1,0
5,7,176796,1,2,8,3,0,0,0,0,1,0,0
2,7,538583,0,2,10,3,4,1,1,0,1,0,0
3,7,130408,1,2,3,5,4,0,0,0,1,0,0
1,7,159732,2,0,8,3,0,1,0,0,2,0,0
2,7,110978,2,2,1,4,3,0,0,0,1,0,0
1,7,76714,4,0,5,3,0,1,0,0,2,0,1
4,5,268700,1,1,2,2,0,1,0,0,1,0,0
2,5,170525,2,0,8,3,0,0,0,0,1,0,0
3,7,180138,3,1,4,2,0,1,0,0,2,1,1
2,6,115076,4,1,4,2,0,1,0,0,3,0,1
1,7,115458,1,0,10,1,0,1,0,0,1,0,0
2,7,347890,3,1,5,2,0,1,0,0,1,0,1
3,3,196001,1,1,2,0,0,0,0,0,0,0,0
1,5,273905,2,1,12,2,0,1,0,0,2,0,0
0,7,119156,2,0,5,1,0,1,0,0,0,0,0
2,7,179488,2,2,1,3,0,1,0,1,1,0,0
4,7,203580,1,1,8,2,0,1,0,0,1,0,0
4,7,236596,1,1,8,2,0,1,0,0,2,0,1
2,7,183916,1,0,2,3,0,0,0,0,1,0,0
2,7,207578,2,1,0,2,0,1,0,1,2,0,1
3,7,153141,1,1,8,2,0,1,0,0,1,0,0
3,7,112763,4,1,5,0,0,0,0,0,1,0,1
3,7,390781,3,1,8,0,4,0,0,0,1,0,0
4,6,171328,0,2,2,5,4,0,0,0,1,0,0
0,6,27382,2,0,8,1,0,1,0,0,1,0,0
4,7,259014,2,0,10,3,0,1,0,0,0,0,0
3,3,303044,1,1,9,2,1,1,0,0,1,1,1
0,7,117789,1,0,2,1,0,0,0,0,1,0,0
2,7,172579,1,2,2,3,0,0,0,0,1,0,0
3,7,187666,2,2,4,3,0,0,0,0,2,0,0
3,7,204518,0,2,1,3,0,1,0,0,1,0,0
2,7,150042,3,2,5,1,0,0,0,0,1,0,0
3,7,98092,1,1,3,2,0,1,0,0,2,0,0
0,7,245918,0,0,2,1,0,1,0,0,0,0,0
4,7,146013,2,1,3,2,0,1,1,0,1,0,0
1,7,378322,0,1,1,2,0,1,0,0,1,0,0
2,2,257295,2,1,4,2,1,1,0,0,3,1,1
0,7,218956,2,0,5,1,0,1,0,0,1,1,0
5,7,21174,1,1,4,2,0,1,0,0,1,0,1
2,7,185480,3,0,5,3,0,0,0,0,2,0,0
2,7,222205,1,1,1,0,0,0,0,0,1,0,1
5,7,69867,1,1,4,2,0,1,0,0,1,0,1
0,7,191260,0,0,2,1,0,1,1,0,1,0,0
3,3,30653,4,1,9,2,0,1,1,0,3,0,0
1,6,209109,4,0,5,1,0,1,0,0,1,0,0
1,7,70377,1,2,5,1,0,0,0,0,1,0,0
3,7,477983,1,1,6,2,4,1,0,0,1,0,0
3,7,170924,2,1,1,2,0,1,1,0,1,0,1
2,7,190174,2,0,4,3,0,0,0,0,1,0,0
1,7,193787,2,0,0,1,0,0,0,0,1,0,0
1,7,279472,2,1,7,0,0,0,1,0,2,0,1
1,7,34918,3,0,5,3,0,0,0,0,0,1,0
3,6,97688,2,1,1,2,0,1,1,0,1,0,1
2,7,175413,2,2,3,5,4,0,0,0,2,0,0
4,7,173960,3,2,5,3,0,0,0,0,2,0,0
1,7,205759,1,0,6,1,0,1,0,0,1,0,0
4,4,425161,4,1,3,2,0,1,1,0,1,0,1
3,7,220531,4,1,5,2,0,1,0,0,2,0,1
3,7,176609,2,2,2,3,0,1,0,0,2,0,0
1,7,371987,3,0,4,3,0,0,0,0,1,0,0
3,7,193884,0,1,1,2,0,1,0,0,1,1,0
2,7,200352,3,1,5,2,0,1,0,0,2,0,0
2,7,127595,1,2,5,3,0,0,0,0,1,0,0
1,6,220419,3,0,12,3,0,1,0,0,2,0,0
1,7,231931,2,0,3,1,0,1,0,0,2,0,0
1,7,248402,3,0,0,5,4,0,0,0,1,0,0
5,7,111095,1,1,10,2,0,1,0,0,0,0,0
2,2,57424,3,2,3,3,0,0,0,0,2,0,0
2,7,157443,4,1,5,0,1,0,1,0,1,0,0
1,7,278130,1,0,1,1,0,1,0,0,1,0,0
2,7,169469,1,2,3,3,0,1,0,0,3,0,0
3,7,146268,3,1,8,2,0,1,1,0,1,0,1
1,7,153718,2,0,2,3,1,0,0,0,1,0,0
2,7,217460,1,1,10,2,0,1,0,0,2,0,1
4,7,238638,1,1,3,2,0,1,1,0,1,0,1
1,7,303296,2,1,8,0,1,0,0,0,1,1,0
3,7,173321,1,2,8,3,0,0,0,0,1,0,0
1,7,193945,2,0,0,3,0,1,0,0,2,0,0
3,7,83082,2,0,5,3,0,0,0,0,1,0,0
2,7,193815,2,1,8,2,0,1,0,0,1,0,1
3,2,34987,2,1,9,2,0,1,0,0,2,0,1
1,7,59306,3,0,3,3,0,1,0,0,1,0,0
2,7,142897,4,1,4,2,1,1,1,0,1,1,1
0,7,860348,2,0,5,1,4,0,0,0,1,0,0
2,3,205607,3,2,5,3,4,0,0,0,1,0,1
1,7,199698,2,0,3,1,0,1,0,0,0,0,0
1,7,191954,2,0,7,3,0,1,0,0,1,0,0
6,3,138714,2,1,3,2,0,1,0,0,1,0,0
1,7,399087,0,1,7,4,0,0,0,0,1,1,0
1,7,423158,2,0,0,3,0,0,0,0,1,0,0
5,7,159841,1,2,2,3,0,0,0,0,1,0,0
2,3,174308,1,1,4,2,0,1,0,0,1,0,0
3,7,50356,2,1,1,2,0,1,0,1,2,0,0
2,7,186110,1,2,10,3,0,1,0,0,2,0,0
1,7,200381,0,0,4,3,0,0,0,0,1,0,0
6,3,174309,4,1,1,2,0,1,0,0,0,0,0
5,3,78383,1,1,9,2,0,1,0,0,2,0,0
1,7,211601,2,0,5,1,4,0,0,0,0,0,0
3,7,187728,2,1,5,0,0,0,0,1,2,0,1
4,3,321171,1,1,6,2,0,1,0,0,1,0,0
5,7,127921,1,0,10,3,0,1,1,0,2,0,0
3,7,206565,2,0,1,3,4,1,0,0,2,0,0
1,7,224563,3,0,8,3,0,1,0,0,1,0,0
3,7,178686,2,0,2,3,0,1,0,0,1,0,0
4,6,98545,0,1,8,2,0,1,0,0,1,0,0
4,7,242606,1,1,10,2,0,1,0,0,1,0,0
0,7,270942,0,0,2,4,0,1,0,0,2,1,0
1,7,94235,1,0,1,4,0,1,0,0,1,0,0
3,7,71195,4,0,5,3,0,1,0,0,2,0,0
0,7,104112,1,0,3,5,4,1,0,0,1,1,0
3,7,261192,1,1,2,2,4,1,0,0,1,0,0
1,7,94936,2,0,3,3,0,1,0,0,1,0,0
2,7,296478,2,1,1,2,0,1,1,0,1,0,1
2,5,119272,1,1,12,2,0,1,1,0,1,0,1
2,7,85043,1,0,9,3,0,1,0,0,0,0,0
1,5,293364,2,0,12,1,4,0,0,0,1,0,0
3,3,241895,3,0,3,3,0,1,0,0,2,0,0
5,7,36135,0,1,5,2,0,1,0,0,0,0,0
1,7,151989,2,2,5,5,0,0,0,0,1,0,0
4,7,101128,2,2,2,3,0,1,0,0,1,1,0
2,7,156464,3,0,5,1,0,1,0,0,1,0,0
2,7,117963,3,1,4,2,0,1,0,0,1,0,1
1,7,192262,1,1,2,2,0,1,0,0,1,0,0
2,7,111363,3,1,4,2,0,1,0,0,1,0,1
3,6,329752,0,1,10,2,0,1,0,0,1,0,0
4,7,372020,3,1,5,2,0,1,0,0,1,0,1
2,4,95432,1,1,8,2,0,1,0,0,1,0,1
5,7,161400,0,2,2,5,3,1,0,0,1,0,0
2,7,96129,2,1,0,2,0,1,0,0,1,0,1
3,7,111949,1,1,8,0,0,0,0,0,1,0,0
1,3,117125,0,1,1,2,0,1,0,0,1,1,0
2,7,348022,0,1,2,0,0,0,0,0,1,0,0
5,7,270092,4,1,5,2,0,1,0,0,1,0,1
3,7,180609,3,1,10,2,0,1,0,0,2,0,0
3,7,174575,3,2,4,3,0,1,0,1,2,0,1
1,7,410439,1,2,3,3,0,1,0,0,2,0,0
1,7,92262,1,1,1,2,0,1,0,0,1,0,0
4,3,183081,2,1,3,2,0,1,0,0,2,0,0
1,7,362589,2,0,3,3,0,0,0,0,0,0,0
4,7,212448,3,2,4,3,0,0,0,0,2,0,1
2,7,481060,1,2,3,5,0,0,0,0,1,0,0
1,4,185885,2,0,8,5,0,0,0,0,0,0,0
0,7,89821,0,0,2,1,0,1,0,0,0,0,0
2,5,184018,2,1,7,2,0,1,0,0,1,0,1
3,7,256649,1,1,7,2,4,1,0,0,1,0,0
3,7,160323,1,0,1,3,4,1,0,0,1,0,0
0,6,350845,2,0,8,1,0,0,0,0,0,0,0
2,7,267404,1,1,1,0,0,0,0,0,1,0,0
1,7,35633,2,0,3,3,0,1,0,0,1,0,0
3,3,80914,4,2,4,3,0,1,0,0,1,0,0
2,7,172927,1,1,3,2,0,1,0,0,2,0,0
4,7,174319,1,2,10,3,0,1,0,0,1,0,0
3,7,214955,0,2,1,3,0,0,0,1,2,0,0
1,7,344991,2,1,1,2,0,1,0,0,1,0,0
3,7,108699,2,2,3,3,0,0,0,0,1,0,0
2,6,117312,2,1,10,0,0,0,0,0,1,0,0
1,7,396099,1,0,2,3,0,0,0,0,1,0,0
1,7,134152,1,2,7,3,0,1,0,0,1,0,0
3,7,162028,2,1,8,0,0,0,0,1,0,0,1
0,7,25429,2,0,8,1,0,0,0,0,0,0,0
0,7,232392,1,0,2,4,0,0,0,0,1,0,0
2,7,220098,1,1,2,0,0,0,0,0,1,0,1
1,7,301302,3,0,1,3,0,1,0,0,2,0,0
3,3,277946,2,2,1,3,0,1,0,0,1,0,0
2,5,98101,3,1,4,2,0,1,1,0,2,0,1
2,7,196164,1,0,2,3,0,0,0,0,1,0,0
3,7,115562,2,1,0,2,0,1,0,0,1,0,0
3,7,96975,2,2,6,5,0,0,0,0,1,0,0
0,7,137300,1,0,5,4,0,0,0,0,1,0,0
1,7,86872,3,1,4,2,0,1,0,0,2,0,1
4,2,132178,3,1,4,2,0,1,0,0,2,0,1
0,7,416103,2,0,6,1,0,1,0,0,1,0,0
1,7,108574,2,0,2,3,0,0,0,0,1,0,0
3,5,288353,3,1,12,2,0,1,0,0,1,0,1
2,7,227689,2,2,0,3,0,0,0,0,3,0,0
1,7,166481,0,1,6,2,3,1,0,1,1,1,0
3,7,445382,4,1,4,2,0,1,0,1,3,0,1
1,7,110145,1,1,8,2,0,1,0,0,1,0,0
3,3,317253,1,1,1,2,0,1,0,0,1,0,0
1,7,123147,2,1,5,0,0,0,0,1,1,0,1
2,7,364657,2,1,4,2,0,1,0,0,2,0,0
3,6,42346,2,2,2,3,4,0,0,0,1,0,0
1,7,241951,1,0,6,5,4,0,0,0,1,0,0
2,7,118500,2,2,4,5,0,0,0,0,1,0,0
3,7,188386,4,1,4,2,0,1,1,0,2,0,1
2,5,1033222,2,1,7,2,0,1,0,0,1,0,0
2,7,92440,0,2,1,3,0,1,0,0,2,0,1
4,7,190762,0,1,7,2,0,1,0,0,1,1,0
1,7,426017,0,0,2,1,0,0,0,0,0,0,0
2,6,243867,0,2,7,3,4,1,0,0,1,0,0
2,5,240283,1,2,10,5,0,0,0,0,1,0,0
0,7,61777,2,1,3,2,0,1,0,0,1,0,0
0,7,175024,0,0,6,1,0,1,1,0,0,0,0
2,5,92003,3,1,4,0,0,0,0,0,1,0,1
1,7,188401,1,2,9,3,0,1,0,0,1,0,0
2,7,228528,0,0,1,5,0,0,0,0,1,0,0
1,7,133373,1,1,10,2,0,1,0,0,2,0,0
2,4,255191,4,0,5,3,0,1,0,1,1,0,0
1,7,204653,1,0,6,3,0,1,0,0,3,1,0
5,2,222289,1,1,4,2,0,1,0,0,1,0,1
3,6,287480,4,1,5,2,0,1,0,0,1,0,0
6,7,107762,1,2,5,3,0,1,0,0,1,0,0
0,7,202521,0,0,5,1,0,1,0,0,1,0,0
2,3,204116,3,2,5,3,0,0,1,0,1,0,0
1,7,29662,2,1,2,0,0,0,0,0,1,0,1
1,7,116358,2,0,1,1,1,1,0,1,1,1,0
2,7,208405,4,1,5,2,0,1,0,0,2,0,1
2,6,284843,1,0,9,3,4,1,1,0,2,0,0
2,6,117018,2,0,12,3,0,0,0,0,1,0,0
1,7,81281,2,1,8,2,0,1,0,0,1,0,0
3,6,340148,2,1,8,0,0,0,0,0,1,0,0
1,7,363425,3,0,5,3,0,1,0,0,1,0,0
3,7,45857,1,2,8,3,0,0,0,0,1,0,0
1,4,191073,1,0,13,1,0,1,0,0,1,0,0
3,7,116632,2,1,5,2,0,1,0,0,1,0,1
1,7,405855,0,0,1,4,0,1,0,0,1,1,0
0,7,298227,2,0,3,3,0,1,0,0,1,0,0
3,7,290521,1,2,4,5,4,0,0,0,1,0,0
4,7,56915,1,1,1,2,2,1,0,0,1,0,0
0,7,146538,1,1,7,2,0,1,0,0,1,0,0
0,7,258872,0,0,5,1,0,0,0,0,0,0,0
0,7,206399,1,0,7,1,4,0,0,0,1,0,0
3,2,197332,2,1,1,2,0,1,0,0,2,0,1
4,7,245062,1,1,1,2,0,1,0,0,1,0,1
3,7,197583,2,1,4,2,4,1,0,0,1,0,1
3,3,234885,1,1,3,0,0,0,0,0,1,0,1
2,7,72887,2,1,7,2,1,1,0,0,1,0,1
1,7,180374,1,1,4,0,0,0,0,0,1,0,0
2,7,351299,2,1,10,2,4,1,0,0,2,0,0
1,7,54012,1,1,10,2,0,1,0,0,2,0,0
2,7,115745,2,1,5,2,0,1,0,0,1,0,0
3,7,116632,2,0,9,1,0,1,0,0,1,0,0
4,6,288825,1,1,10,2,4,1,0,0,1,0,0
2,7,132601,3,1,5,2,0,1,0,0,2,0,0
3,7,193374,0,2,1,5,0,1,0,0,1,0,0
1,7,170070,3,0,0,3,0,0,0,0,0,0,0
2,7,126708,1,1,8,0,0,0,0,0,2,0,0
4,7,35598,1,2,10,5,0,1,0,0,1,0,0
2,7,33983,2,1,10,2,0,1,0,0,1,0,0
3,7,192776,4,1,4,2,0,1,0,1,2,0,1
1,7,118551,3,1,0,0,0,0,0,0,0,0,1
4,7,201965,2,0,5,5,0,1,0,0,1,0,1
1,7,139883,2,0,5,1,0,1,0,0,1,0,0
2,7,285020,1,0,1,3,0,1,0,0,1,0,0
1,7,303990,1,0,10,3,0,1,0,0,2,0,0
5,7,49401,2,2,2,3,0,0,0,0,1,0,0
3,7,279196,3,0,1,3,0,0,0,0,1,0,0
0,7,211870,0,0,2,3,0,1,0,0,0,0,0
1,7,281432,2,0,6,1,0,1,0,0,1,0,0
